0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:13:50 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:14:31 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:15:17 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:15:17 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:15:17 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:15:18 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:15:18 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:15:18 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:15:18 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:15:19 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:15:19 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:16:48 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:16:49 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:16:50 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:16:50 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:25:28 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:25:28 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:25:28 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:25:28 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:25:29 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1207
